Comentarios,Categoria
Más contenido aquí -> https://www.instagram.com/arturolorenzo10,comida
"Las vamos a llamar ""Hamburguesas Arturo King"" ",comida
"Muy buen video hermano, como siempre.
Saludos",comida
muchas veces mejor que la comida de cadenas americanas que parecen de carton la carne,comida
Que excelente hamburguesa,comida
"Gran sudadera Arturo, somos los gordacos del Maíz ",comida
"1:42 Pobre pollo, le estas manoseando ahi :v ",comida
Hamburguesa jejej que rico,comida
"Muy bonito tu marinado, aqui los llaman pollos rostizados, es mas o menos el mismo marinaje, a mi lo que me lateria es agarrar ese pollo y meterlo a moler, para hacer una especie de carne molida de pollo, a la parilla, y la magia empezaria en no en el marinaje sino los aderezos y montaje de la amburguesa.",comida
5:10 me recordó ayer con mi novia. ,comida
"Muy rica. Pero como lo tuyo es combinar cocinas le hubiera puesto queso Azul para darle más fortaleza a la suavidad del pollo y hasta unas cuantas aceituna picaditas en una especie de salsa de pico de gallo junto con cebolla, aceite de oliva y un poquito de vinagre. Te dejé una receta de Vieras en tu  instagram, en donde también te sigo. Ojalá puedas verla. Desde México un abrazo cruzando el charco.",comida
"XD quiero una, acabo de cenar y aún así babeaba al ver tremendo bocado le daban, saludos desde Guadalajara Jalisco México  y mis respetos para esta tremenda hamburguesa",comida
Muy buena rey !!!.   Execelente cuando haces videos de cocina ...salufos desde CDMX,comida
Tienes talento arturillo felicidades te la rifaste,comida
"Dónde está mi oro verde 
Muy buena crack la verdad asi se me antoja muchísimo no le pondría ni le quitaría nada",comida
"Que ojazos, Arturito ",comida
"Creo que es justo así como llegamos a tener una gastronomía tan amplia, sin miedo a cocinar lo que se nos antoja o con aquello que tenemos a la mano. ",comida
"Buenísimo vídeo saludos desde
 New York",comida
Apapacho. Ar two di two R2D2,comida
Pero por qué desperdicias el pollo que cortaste en la columna pudiste hacer un consomé o una sopa ,comida
"Perfecta  Excelente hamburguesa!!! Ya lo compartí con amigos, en Twitter, Facebook, qué más quieres que haga ""Gordaco Mayor""!!! Saludos desde Tabasco, México. (Aunque soy Veracruzano.)",comida
"Hamburguesas AL PUNTO!
Se ven exquisitas.
Saludos MAJO!!",comida
Que guapo tu hermano,comida
Genial muy buena pinta esa hamburguesa  saludos Arturo y a esperar el siguiente vídeo. ( •ω•ฅ）,comida
