comentarios,id_comentarios,nombre_canal,categoria,dummy_y
"Mi meta en la vida es conocer youtubers y tener sus libros incluyendote, te amo te quiero conocer y tenés tu libro!!!",Ugzjd8VGkV7wDBPf9_Z4AaABAg,Priti by Dani,dibujo,1
Dani te amo muchooo espero que veas esto para mi eres la mejor me gustaría ver blogs pero también clases espero que lo tomes en cuenta.,UgxwmS0_GVehFYjlqyd4AaABAg,Priti by Dani,dibujo,1
"Muy positivo mensaje muy bien Dani, motivar diariamente a una o mil personas siempre es gratificante!! Bien por ti!",UgyVu2NK1l-nO1alXud4AaABAg,Priti by Dani,dibujo,1
"Hola Dani te amo, mi sueño es ser cantante y artista plástica como tu porque me encanta dibujar zentangle y muchas cosas más",UgwUZTvcx-gmkDsWz7R4AaABAg,Priti by Dani,dibujo,1
"Te sigo en este canal ya, dani <3
antes solo te segia en tu canal principal",UgzX3WYeN0LysctqRDp4AaABAg,Priti by Dani,dibujo,1
Dani que no termine las clases  boy en clase de arte y tu me ayudas mucho en pintar de amooo,UgxSEdRGx3w__SHjvEh4AaABAg,Priti by Dani,dibujo,1
no por fa nooo no termines con las clases yo las amoooooooooooooooooooooooooooo y como voy al corriente yo estaba esperando que fuera viernes para tomar mi clase por que no tenia nada que hacer ese dia :[,Ugz_Zw4nIrxJIGPBOGN4AaABAg,Priti by Dani,dibujo,1
dani mi perro se yama pancho y tambien la palabra majica es vamonos,UgwdBjUZKHKWQ9amSuh4AaABAg,Priti by Dani,dibujo,1
este canal debe de tener millones de suscriptores por priti,Ugxlg7V5h5doZX27v4V4AaABAg,Priti by Dani,dibujo,1
Y quiero ser como tú cuando sea grande quiero rescatar perros pero mi familia de echo tiene perrito pero les da asco lo perros de la calle pero yo si quiero poder cuidar y rescatar perritos pero mi familia no me apoya pero yo quiero hacer esoo,UgwnYZy8E92RDnbBLcV4AaABAg,Priti by Dani,dibujo,1
"Zentanglers, espero que les haya encantado las clases de Jorge, ojalá hayan aprendido mucho, recuerden que los amo con todo el corazón y visitar la pagina de Priti by Dani.
www.pritibydani.com.mx",UgzuCIoBmIk46IQ-8vB4AaABAg,Priti by Dani,dibujo,1
Me encantaron todas sus claseeees........ojalá hubiera dado más clases! Un fuerte abrazo Dani.....,UgxjKeJh00TnUk7HKXN4AaABAg,Priti by Dani,dibujo,1
"No se si va acorde, pero estaría también bueno q Serrano diera clase en digital!!! O más clases así explicando, no maaa lo ameeee!!",Ugy5BmQaCrFVXX75SQd4AaABAg,Priti by Dani,dibujo,1
"Quedo sorprendente 
Muchas felicidades jorge y también a tí Dani",Ugw_6Omz0BRHYUEAfRp4AaABAg,Priti by Dani,dibujo,1
"Que onda con el vato que se pinta las uñas xd, pero en fin... Sus clases son geniales !",UgzujA0JDEpYvDPEIlp4AaABAg,Priti by Dani,dibujo,1
"Esta fue mi actividad favoritaaaaa
pero igual todas estuvieron vacan",UgwN30_jK1a1_b-xS0p4AaABAg,Priti by Dani,dibujo,1
Me encantó más la pintura que la foto  gracias por estas clases ,Ugz2r36Kkea3Xz85RXx4AaABAg,Priti by Dani,dibujo,1
"Muchas gracias, me encantó!!! Ojala siga haciendo estos cursos ",UgxW7xNx775Zh63fZxd4AaABAg,Priti by Dani,dibujo,1
"Daniii te amoooo me encantan sus clases nunca me las pierdo:) 
PD: donde compraron lo brillitos? Te amo no lo olvides ️",UgyFH2YuUPgkqE2iUIt4AaABAg,Priti by Dani,dibujo,1
Aww me encantooo puedes dar un curso de dibujo digital eres muy buenooooo️,Ugx_Jqk3R_U4FXzHnSF4AaABAg,Priti by Dani,dibujo,1
"Espero que les haya encantado tener a Jorge en el canal, a mi me encantó  acuérdense de checar la página de priti by Dani para ver todos los apuntes de la clase. Los amo con todo mi corazón ️
www.pritibydani.com.mx",UgwcL6ziSVlN8Lb2hIl4AaABAg,Priti by Dani,dibujo,1
Me encantó todas las clase soy un zentangler de corazón y ami también me encanta dibujar es ni hobby,Ugy-mdUMLoj92uN1cM94AaABAg,Priti by Dani,dibujo,1
Dani alguna de las siguientes clases las podría hacer pyoasdf es buenísimaaaaaa,UgwMCPM1w2Na61SDC-R4AaABAg,Priti by Dani,dibujo,1
"Ame la claseee, lo quiero intentar, tienen muchísimo talento",UgysGBK34umt8TqTPpV4AaABAg,Priti by Dani,dibujo,1
"Hola danime encantaría que me saludases además te admiro desde hace mucho tiempo, si te soy onesta..no me han gustado mucho las clases con soy serrano bueno se q se esforzó y todo pero....bueno espero tengas un buen dia",UgzZytbiaoEeI6HvBQ54AaABAg,Priti by Dani,dibujo,1
hola me saludas soy de Perú me llamo maricielo y me puedes seguir en Facebook es Maricielo Segovia gracias cunado valla a México YMI SUEÑO ES VIVIR EN MÉXICO,Ugw83Oem2Ic236Xxd_R4AaABAg,Priti by Dani,dibujo,1
Que talento  explica tan bien que siento que me saldría y todo ,UgyStQ4mNdDQ2Zb6Gbx4AaABAg,Priti by Dani,dibujo,1
"Que talento, Deos, eres genial, espero aprender rápido, le estoy poniendo punche. Muchas gracias ",Ugx4jqIl9MrG2pXJI9F4AaABAg,Priti by Dani,dibujo,1
"Hay me ha encantado el gran avance del retrato de Lady Gaga está hermoso y muy priti, Jorge que hermosas clases nos estás dando te quiero y a todo el equipo más Dani gracias",UgxK9BGCofHhppbIsux4AaABAg,Priti by Dani,dibujo,1
"feliz dia del arte a todos 15 de abril 
yey que vivan todos los artistasy los amantes del arte
",UgylvzLsurYKlQDtPZd4AaABAg,Priti by Dani,dibujo,1
"Holi guacamoli Zentanglers! espero que esta nueva clase les haya encantado tanto como a nosotros nos encantó hacerla, los amo con todo el corazón, les recuerdo visitar la página oficial de Priti by Dani para ver todos los apuntes ️ 
www.pritibydani.com.mx",UgznyMdz7WM9xKvGuMV4AaABAg,Priti by Dani,dibujo,1
"Cuando mi vida es gris y aburrida, busco a Priti by Dani para que la llene ve color ️️",Ugxg0KEGTB-YqnQXFDp4AaABAg,Priti by Dani,dibujo,1
"Para las próximas clases me  gustaria lo mismo retratos realistas , pero con colores convencionales",Ugwj-tqGtKzbijDqQm14AaABAg,Priti by Dani,dibujo,1
Hola soy serrano quisiera pedirte una cosa podrías hacer a dua lipa por favor  denle like plisssss,UgybzxuAYLn1HkrfNsJ4AaABAg,Priti by Dani,dibujo,1
Daniiiiii te quiero ver ati dando clases eres la mejor maestra,UgwlGsyu13s1D3ZYWU94AaABAg,Priti by Dani,dibujo,1
"Yo amo las clases que Dany nos está proporcionando y aún más si es Jorge Serrano! Amo como ilustra y el dominio que tiene con la acuarela! 

Muchas gracias Dany! ",Ugyk_wNocDTvxLPRf2h4AaABAg,Priti by Dani,dibujo,1
"Holi dani, te amo gracias por enseñarme desde el inicio te amamos gracias por todo ",UgzQ4ZuP7zOIoegW8-N4AaABAg,Priti by Dani,dibujo,1
La próxima debe de ser Eli notes Ase apuntes.  Digitales hermosos,UgyCdvOtScgpKLVPLpp4AaABAg,Priti by Dani,dibujo,1
Me encantan estas clases! Que lástima qur pronto acabará!!! Daniii te mando un fuerte abrazoooo!,UgyXT8o5wWZA5CTprLd4AaABAg,Priti by Dani,dibujo,1
"Ya vieron que  que la hermosa carita de Dani apareció en un comercial de Liverpool
 ",Ugwxcn-d-evgdbOc-w54AaABAg,Priti by Dani,dibujo,1
"Ya solo nos queda una clase mas de Jorge  pero cuéntenme como va todo hasta ahora? NO SE OLVIDEN DE VISITAR www.pritibydani.com.mx  al finalizar la clase, lo amoooo ️",Ugzast09mUGV3RqkliJ4AaABAg,Priti by Dani,dibujo,1
Hola una consulat mi paleta de acuarelas esta mezclada como puedo hacer para poner la es suave colores normales alguien me ayud apor favor,UgzMhcUmZX12h9LduvJ4AaABAg,Priti by Dani,dibujo,1
podrian hacer clase pero con colores acuareliables? porfas,UgzudV-pfwQdDAw8TqB4AaABAg,Priti by Dani,dibujo,1
"dani te amo gracias a ti, Karla notes, SoySerrano y cielo aprendí mucho más y mis padres me compran plumones :v saludame plis XD :D",Ugz3fbKLpPT_PrVxPKN4AaABAg,Priti by Dani,dibujo,1
"Que padre sería dar las clases de priti by dany ,yo también me dedico al dibujo y la pintura acrílica y también soy estudiante de Arquitectura ,espero algún día tener un estudio y dar clases ",UgyYrleotH4k9YKwQiZ4AaABAg,Priti by Dani,dibujo,1
Me encantaron las tecnicas y como lo explica!!! De verdad la mejor clase de acuarelas!!!!!!,UgxypEfW--lt9GrY-ot4AaABAg,Priti by Dani,dibujo,1
deberia de volver al canal y esta vez enseñarnos la magia que hace en digital me encantarían unos cursos de sus ilustraciones digitales,UgxpgWXGjc4EhErFvid4AaABAg,Priti by Dani,dibujo,1
"Me encantó el vídeo a un que yo no tengo acuarelas pero me gusta ver para cuando tenga sepa cómo se utilizan,Dani muchas gracias por estás clases  gracias por querernos tanto y por preparar todos estos vídeos tan biente quiero mucho y quiero seguir aprendiendo muchas cosas más a tu lado️",UgwAXmQ7NWBGqKYtA4p4AaABAg,Priti by Dani,dibujo,1
"Más clases de él porfavoooooor!!! Me encantan las acuarelas!!!!!
Estaría super cool que hiciera un retrato de ti Dani!!!
Un fuerte abrazo desde la CDMX!!!",Ugzxl4fu464D9vYONnp4AaABAg,Priti by Dani,dibujo,1
Una función perfecta ️ todo me encantó Woow las uñas super padres ,UgwSW5d5HdQnsZuSX214AaABAg,Priti by Dani,dibujo,1
"Holaaaa Zentanglers ¿Cómo  vieron la clase? ¿No les encantan las acuarelas? Recuerden que en www.pritibydani.com.mx están  todos los apuntes de las clases, lo veo por allá  . 
Los amo con todo mi corazón  que tengan un domingo muy priti de paris️",UgzHtnIJrBFvRzAEvgR4AaABAg,Priti by Dani,dibujo,1
Amo Ver estos vídeos en mis tiempos libres y experimentar t amo daniiiii,Ugwj4cJEDAibLtpHnkp4AaABAg,Priti by Dani,dibujo,1
Podrían enseñar a dibujar de forma realista con crayolas porfa :3 (me encantó el vídeo),Ugzk9LUIwXoP2wmrD4x4AaABAg,Priti by Dani,dibujo,1
holii dani llegue tarde :c bueno me gustaron  mucho las clases me ayudaron a hacer mejor mis trabajos de ARTE uwu bueno espero que me des un corazon :),UgyzBfUuwGD_xc9aqDR4AaABAg,Priti by Dani,dibujo,1
Se imaginan que los comentarios los responde otra persona que no sea Dani? La estación,UgxhvQMlFuXR5GlL3Qx4AaABAg,Priti by Dani,dibujo,1
