comentarios,id_comentarios,nombre_canal,categoria,dummy_y
"Fuaaa volví a este canal por la nostalgia, te agradezco mucho, tus tutoriales me impulsaron en el mundo del arte<3  espero ver nuevo contenido tuyo",UgyE-YHnyX-yaiqTfm94AaABAg,DOMERELLY,dibujo,1
"Cuándo volverás?
Este canal fue una de mis primeras inspiraciones para dibujar hace mas de 6 años",UgyR9qmhsEpPx0gJSa54AaABAg,DOMERELLY,dibujo,1
vaya que el tiempo pasa y rapido recuerdo cuando comenze a ver tus videos por aquel video de gogeta la verdad solo lo vi porque me parecio muy curioso y colorido con el tiempo empeze a ver tus videos por que eran muy hermosos un dia simplimente entre a tu canal y ya no habia videos y segui esperando y esperando a que saliera un nuevo video hoy recorde tus videos por que apareciste en la seccion de canales a los que estoy suscrito,Ugz88iqmYAw8iLONnoZ4AaABAg,DOMERELLY,dibujo,1
"Más contenido por favor me encanta tus técnicas, en los videos ✿",UgxC9cQsuhCVhy4yCDB4AaABAg,DOMERELLY,dibujo,1
oye podrias dibujar a nemu kurotsuchi del anime bleach no se como dibujarla y tu explicas bien te lo agradeceria un monton :),Ugy2WwvX2Z_6J264awZ4AaABAg,DOMERELLY,dibujo,1
"Sigo esperando a que vuelvas 
Imagínense que ya hasta tenga hijos ",UgxmMQUmfQibb3VYsq54AaABAg,DOMERELLY,dibujo,1
"Muy buen trabajo amigaa
.........https://youtu.be/G-30uBAQT6M",UgwqCZ4eYihdZvaXnIh4AaABAg,DOMERELLY,dibujo,1
Una pregunta alguien me puede decir que numero y marca son sus lápices y mas o menos cuanto cuestan? Y también cual es la libreta en la que dibuja y si marca  y tal vez en donde la vender jaja perdón pero mi gusta dibujar y estoy aprendiendo,UgyRwzr4YzbrV_8m7wR4AaABAg,DOMERELLY,dibujo,1
"Dios, gracias a ella aprendí bastante en mis inicios, ¡gracias Domerelly! ",UgyPw1VTg_aSgkTi_A14AaABAg,DOMERELLY,dibujo,1
"Domerelly! regresa :(, tu fuiste el pilar antes de los youtubers de dibujo de hoy, no nos dejes.",Ugwm6IEABPuVIsgg9F94AaABAg,DOMERELLY,dibujo,1
por fin un video que si deja resultados buenos y explica lo que a mi profesor no le entendí  :) muchas gracias.,Ugy_IkIo2A1jKF9d8i94AaABAg,DOMERELLY,dibujo,1
No me gusta por qué no me funciona me quedo como la nariz de un marrano ,Ugx0mIFouYSfpHWSk5N4AaABAg,DOMERELLY,dibujo,1
Molestan mucho el escrito que sale cuando habla no se ve bien el dibujo,UgzflW_PKhVbMQRz_1Z4AaABAg,DOMERELLY,dibujo,1
Me salió genial muchísimas gracias!!  el lunes tengo una descripción de inglés,UgzG9C9IfVfya5HDZTd4AaABAg,DOMERELLY,dibujo,1
Tu vídeo me sirvió de mucho para arreglar y darle unos toquesitos a mi nariz y al final salió más perfecta de lo que estaba. Muy bonita tu explicación sigue así y gracias🖒,UgxxOwWhfKQqBt0NVZV4AaABAg,DOMERELLY,dibujo,1
"Wow, quedó muy hermoso el dibujo final! Muchas gracias por la técnica ",UgxfjK5lHwx5LM1z2h14AaABAg,DOMERELLY,dibujo,1
"Pero falta qué lápices has utilizado en cada paso (no en general) al no saberlo, lo he hecho todo con un 4B y la figura me ha quedado idéntica pero para nada hiperrealista.",UgzTic3GeOG4RZUgP8V4AaABAg,DOMERELLY,dibujo,1
"yo siguiendo el tutorial toda Mona but comienzo a difuminar :""( mi hoja se manchó cuando lo hice",UgyeDgaMdZDQvS6Xy-N4AaABAg,DOMERELLY,dibujo,1
Este video no me gustó por las letras no dejaron ver bien como debe de ir quedando el dibujo,Ugwf7ASCWU6UXY_qT7N4AaABAg,DOMERELLY,dibujo,1
A alguien más le pasa que dibujar las narices es lo que más le cuesta?,UgwSepn8nHUn4VUKa_J4AaABAg,DOMERELLY,dibujo,1
"Me gustaría saber qué tipo de lápiz es el blanco que usaste primero y luego el segundo con el que le diste brillo y luz
Gracias",Ugzq7vwQmzF-Go8aCRN4AaABAg,DOMERELLY,dibujo,1
Hola como es la técnica de dibujar esos ojos que pares en que te siguen con la mirada,UgxfP_rmmKzWhINtNK54AaABAg,DOMERELLY,dibujo,1
"En el video que bonito ojo...
Yo: no me quedo igual esta muy feo >:v",UgyYyyDyOXs2UvEJ1DN4AaABAg,DOMERELLY,dibujo,1
de la nada despues de la cortada en el vid por milagro de a saber quien le aparecieron las sombras de las pestañas en el ojo y al final tenia arrugas y nunca enseño como hacerlas :(,UgzygqC-S9XJCl2EJeN4AaABAg,DOMERELLY,dibujo,1
Si tan solo lo enseñaras a hacer con un simple lápiz seria genial,UgyaCdnemSO8W44Jxyt4AaABAg,DOMERELLY,dibujo,1
"Me gustó el diseño y el volumen que le diste al dibujo sin embrago me gustaría que usarás materiales que uno pueda encontrar en casa como lápiz,goma , en vez de los pinceles.",UgzmJN-xyg_QOoYLZdd4AaABAg,DOMERELLY,dibujo,1
Huy si se ve muy chingona la calidad del video si puedo ver muy bien puñetona,Ugyf6ijPuE3980AbTfJ4AaABAg,DOMERELLY,dibujo,1
Con cuarentena ahora dibujare hace años que no dibujo me puede decir que lápiz puedo empezar a ocupar?,Ugy6BQvMbbzxYC_-yjR4AaABAg,DOMERELLY,dibujo,1
"me encantó tu tecnica es tan facil de seguir mi ojo no quedó perfecto pero quede encantada y se que con practica lo voy a mejorar, eres una de las mejores explicando, nada complicado, gracias...",Ugz8S4qXK49Lz89zxzV4AaABAg,DOMERELLY,dibujo,1
