comentarios,id_comentarios,nombre_canal,categoria,dummy_y
Wey ya dibuja en un solo vídeo no te pongas a aser un dibujo en 5 video as solo uno en un video y ya por eso es q casi no tienes subs,UgzA2O_oW7eUALu7Q714AaABAg,Soy Danny,dibujo,1
Yo tengo 12 .-. pero gracias por el video OwO pero me gustaría ser animador Danny eso es bueno ?? Me gustan las animaciones cómics Etc,Ugx1AKHooDms52tDwO94AaABAg,Soy Danny,dibujo,1
"Hola Danny, que opinas sobre dirk dzimirsky, saludos desde colombia",UgyHpDhMLtrwGnBddfp4AaABAg,Soy Danny,dibujo,1
Creo que me confundi de video ! Quisa este es su segundo canal ! ?  Aver lo berificare.,UgwkT_9xoTIW-4521bJ4AaABAg,Soy Danny,dibujo,1
Gracias Danny sigue así me encanta verte. Aprendo mucho con tus vídeos un abrazo enorme,UgwKG2XYsOlH3oVpx1t4AaABAg,Soy Danny,dibujo,1
"Excelente entrevista, me aclaró muchísimas dudas, ¡Gracias Danny! Por siempre traernos tan buen contenido",UgxAX3Y2S_cYNxpLTth4AaABAg,Soy Danny,dibujo,1
"Excelente entrevista, gracias por la oportunidad de exponer nuestros conocimientos y poder ayudar a la comunidad de artistas. ",UgywEQqK07wuC8Yw9Kp4AaABAg,Soy Danny,dibujo,1
"Es necesario usar hoja A-3 para hiperrealismo? , yo solo tengo A4 respondeme por favor",UgwQtXVYEjlazjgBEyl4AaABAg,Soy Danny,dibujo,1
Me aparece este video justo cuando estoy haciendo unos planos para la universidad.,UgwoYolfnNfUDfsRRUh4AaABAg,Soy Danny,dibujo,1
"Danny el mejor, gracias a ti he podido ayudar a mi familia con mis dibujos hiperrealistas.
Gracias saludos desde Quito, Ecuador",UgytcYiEiEAlImmojxB4AaABAg,Soy Danny,dibujo,1
muchas gracias danny yo estoy siguiendo todos tus pasos para poder dibujar a mi mascota con este maravilloso arte que es hiperrealismo,UgxfhbYgXiJYzsllexZ4AaABAg,Soy Danny,dibujo,1
Ya acepten mi solicitud del grupo de Facebook porfavor....!!,UgwIrPUUjqdx984laIx4AaABAg,Soy Danny,dibujo,1
"Bro, primero te admiro mucho, segundo, tengo un problema, tengo un cuaderno de hojas que me lo regalaron pero no es tan bueno ni tan grande, 1 año despues me compre otro mas bueno y... era super super chico, cual libro de dibujo me recomiendas con poco presupuesto?",Ugwi1CDToaUvYd5Z1KB4AaABAg,Soy Danny,dibujo,1
"Acabo de suscribirme soy pintora pero no hago realismo y no uso colores, llegué aquí porque iba a comprar un curso en doméstika y en los Comentarios hablaban de que tu eres mejor que todos los cursos y aprendían mejor contigo y aquí estoy, viendo el talento que tienes para dibujar y enseñar",UgwLKeVEtMcMHUlgSdd4AaABAg,Soy Danny,dibujo,1
"Eres un verdadero artista y chevere de  Ecuador, de los pocos con un método de enseñanza práctico y entendible  maestro de maestros..",UgxUWc4tOLiuzCO2K5B4AaABAg,Soy Danny,dibujo,1
Hola bro puedes hacer un tutorial de como usar adecuadamente los prismacolor premier de 36 unidades plis,UgypKb7E9RubKWj9bo14AaABAg,Soy Danny,dibujo,1
"Pregunta para Danny, ¿Ya no das cursos? 
que me he metido al formulario, lo mandé y no han respondido (pasaron dias).",Ugw6nkvQrJ8Cj-QB0WB4AaABAg,Soy Danny,dibujo,1
Yo te escribi porque yo me pustele y queris aprender el dibujo hiperrealista online ,UgzlC0OqMaIEprRMg0p4AaABAg,Soy Danny,dibujo,1
"80k llegamos llevo siguiendote casi desde que empezaste y me alegro 
Que sigan los éxitos danny",UgynmCGx99lNdUEsMDF4AaABAg,Soy Danny,dibujo,1
"siempre quise saber como hacer la trufa con detalles de su nariz, a mi me encantan sus narices también, sobre todo tocarlas cuando estan mojaditas.",UgywRU6Dk33Xyolpgoh4AaABAg,Soy Danny,dibujo,1
"Me encantó la entrevista , también me ayudó a saber más sobre la carrera",UgybOh-FmL58mTcVfHt4AaABAg,Soy Danny,dibujo,1
Hola master 32avo comentario yo solo dibujo por que me gusta y para mejorar pero saludame ok ya se que ni me vas a saludar pero hola saludos,Ugybu8VaVdGClinDqql4AaABAg,Soy Danny,dibujo,1
Mas que medisina ? Mas que medisina ?  Danny insiste a que digan ellos siii. ,UgyOlQ_MN5-bMrV_APR4AaABAg,Soy Danny,dibujo,1
Cuando el siguiente video de hiperrealismo Danny??!!! Quiero ver como te sale tu perro hiperrealista para que yo pueda empezar ,UgzbD04D_AhLqFyjuK94AaABAg,Soy Danny,dibujo,1
saludos danny eres el mejor de youtube te merces mas que 79 900 suscriptores ayudas mucho a los demas gracias por todo ahora estoy dibujando a morgan freemer hiperrealista con tus tutoriales,Ugz2wmrVXVzgqRP2kMJ4AaABAg,Soy Danny,dibujo,1
"Danny, 100 sud más para los 80.000!!! Harás los tutoriales de grafito?",UgxsA0DNGZPJyyCHETF4AaABAg,Soy Danny,dibujo,1
Bas a subir los titoriales de grafito aquí en youtube? Me saludas porfa,UgzPsD0jA9jSjIlVPA54AaABAg,Soy Danny,dibujo,1
"Danny  , te admiro tanto... cuanto diera por ser tu alumno. Te felicito que talento",Ugz0Czz3921AedMntk54AaABAg,Soy Danny,dibujo,1
si amigo como está megustaria inscribirme en tu curso de grafito pero como ya le anexamos a dicho en otros comentarios no se dibujar mucho y gracias,UgxwEnq354uLK7RvsI54AaABAg,Soy Danny,dibujo,1
"Que bonito se siente saber que estuvimos cuando apenas empezaba y me enamore del hiperrealismo , esperaba con ansias que se liberará esta parte del grafito para el canal.
Saludos y mucho éxito.",UgyQwqqEGPNB5jLOBh94AaABAg,Soy Danny,dibujo,1
desearía amigo ver el tutorial de toditos de oro me gusta mucho el carboncillo gracias ,Ugy9QOudIM_pfMOONAx4AaABAg,Soy Danny,dibujo,1
"Disculpa maestro, una pregunta El pintado a lápiz de pierde color a pasar el tiempo?",Ugy3Ku8MsGQR7yRVEhB4AaABAg,Soy Danny,dibujo,1
Oies dany pero yo no tengo wazapp pero si me interesa tu clases como le agoooooo alguirn me puede desir pliiiiis,UgxsS195aRzoOSgp12F4AaABAg,Soy Danny,dibujo,1
Holaa.. Danny que opinas de Dirk Dzimirsky... saludos desde Paraguay,UgxXfUANnGVzTwUp_xJ4AaABAg,Soy Danny,dibujo,1
"danny, crees que se pueda hacer un dibujo hiperrealista a grafito en una hoja de 35 x 25 cm, de 115 gramos? SALUDOS DESDE COLOMBIA",UgwKe6TkIT_MYzn5sPt4AaABAg,Soy Danny,dibujo,1
"El maestro ROCHY, perdón es el maestro Danny que muy posiblemente vino a este planeta desde otra galaxia a mostrar un talento fuera de serie, mis felicitaciones Danny por su talento, Saludos desde RD !",UgzQrsIKAiz83W_WOMJ4AaABAg,Soy Danny,dibujo,1
Yo no tengo dinero.para tus clases pero me encantaría pero el mundo no lo quiere así :(,UgzcXY1eX1ueQWsnRFR4AaABAg,Soy Danny,dibujo,1
"Que bueno Danny soy iker , tiene muy buena pinta ese proyecto , creo que me apuntare ",UgxaWWai-dWLK19D8FV4AaABAg,Soy Danny,dibujo,1
Quiero ser arquitecto porque me gusta mucho pintar y pues quiero ver si me ayudas a pintar,UgxHa94zcIm7N1SFy2V4AaABAg,Soy Danny,dibujo,1
"¿Cuánto invirtieron en la carrera? Para lograr llegar a ser los profesionales que son ahora  

¿Cuánta dificultad hay para conseguir los materiales que se requieren en cada carrera?",Ugyzc8TmYLJ5mrLAo0B4AaABAg,Soy Danny,dibujo,1
"La pregunta para animacion 2d y 3d  que tan  fiable es encontrar empleo en esta o  cuanto se gana, y si con esto se puede trabajar en algo más además de hacer series animadas",UgxA7Inn69sdm_IF4q94AaABAg,Soy Danny,dibujo,1
que carrera universitaria esta encaminada hacia el diseño 3D o diseño de videojugos,UgyYZZF9UC1lbDcl1d14AaABAg,Soy Danny,dibujo,1
Q carrera es mejor para las personas q les gusta copiar y no crear saludos desde argentina,UgxX_QqHETaf8I_ksyJ4AaABAg,Soy Danny,dibujo,1
"Hola Danny yo estaba estudiando diseño de modas pero detesto coser.
Mi sueño siempre a sido estudiar diseño grafico.
Mi pregunta: Es cierto que la carrera de Diseño grafico es cara en cuanto a material?
Y que tableta grafica recomendaria para un principiante?
Cualquier computador sirve para diseñar digitalmente?
Gracias Saludos ",Ugx7hbwF823MEZvpidx4AaABAg,Soy Danny,dibujo,1
Que oportunidades de trabajo hay para cada carrera? Cuánto se gana aproximadamente en cada una?,UgwTDWWG76Ist0c2E-B4AaABAg,Soy Danny,dibujo,1
"Me gustaría que hablaras sobre diseños de interiores.
¿Cuánto cuesta la carrera?",Ugyelp_m5cv56JlZ3114AaABAg,Soy Danny,dibujo,1
"Danny, en la carrera de diseño gráfico hay que usar mucho las computadoras?por que hay si estaria frita",UgwRzmXQUvoxCuYtTpt4AaABAg,Soy Danny,dibujo,1
"Si estudio diseño gráfico, podría laborar en diseño automotriz",Ugw0-e-25K-cCpfkmXV4AaABAg,Soy Danny,dibujo,1
"Hola, soy nuevo en esto del dibujo. Una pregunta, qué papel es ese o puedo usar? Gracias a quién responda",UgxStk-FKHHBiZAzKxp4AaABAg,Soy Danny,dibujo,1
